  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD
    0     1     0 80004004   0  31  0  2473128   3660 -      Ss                  0 ??         0:52.96 /sbin/launchd
    0    16     1     4004   0  63  0  2495580   5184 -      Ss                  0 ??         0:03.88 /usr/libexec/UserEventAgent (System)
    0    17     1     4004   0  33  0  2497728   3912 -      Ss                  0 ??         0:07.42 /usr/libexec/kextd
    0    18     1     4004   0  33  0  2492884   2248 -      Ss                  0 ??         0:02.51 /usr/libexec/taskgated -s
    0    20     1     4004   0   4  0  2469228      4 -      Ss                  0 ??         0:00.05 /usr/libexec/wdhelper
    0    21     1     4004   0  23 10  2471116   1572 -      SNs                 0 ??         0:00.66 /usr/libexec/warmd
  213    22     1     4004   0  33  0  2480508    668 -      Ss                  0 ??         0:00.16 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0    24     1     4004   0  33  0  2480636   1928 -      Ss                  0 ??         0:07.32 /usr/sbin/syslogd
    0    26     1 40004004   0  33  0  2469256    584 -      Ss                  0 ??         0:00.11 /usr/libexec/stackshot -t
    0    29     1     4004   0   4  0  2468732      4 -      Ss                  0 ??         0:00.01 /System/Library/CoreServices/SleepServicesD
    0    30     1     4004   0  33  0  2493808   2456 -      Ss                  0 ??         0:01.81 /usr/sbin/securityd -i
    0    32     1   104004   0  47  0  2470928   1104 -      Ss                  0 ??         0:00.22 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0    33     1     4004   0  33  0  2491864   1364 -      Ss                  0 ??         0:10.22 /System/Library/CoreServices/powerd.bundle/powerd
    0    36     1     4004   0  33  0  2508648   5096 -      Us                  0 ??         0:16.83 /usr/libexec/opendirectoryd
    0    39     1  1004004   0  50  0  2649548  62996 -      Ss                  0 ??         9:53.88 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   65    40     1     4004   0  63  0  2494412   3192 -      Ss                  0 ??         0:09.15 /usr/sbin/mDNSResponder
  501    43     1 81004104   0  50  0  2568040  28128 -      Ss                  0 ??         0:09.83 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0    44     1     4004   0  33  0  2468732    620 -      Ss                  0 ??         0:00.06 /System/Library/CoreServices/logind
  205    45     1     4004   0   4  0  2498844   3092 -      Ss                  0 ??         0:05.70 /usr/libexec/locationd
    0    46     1     4004   0  33  0  2460612    216 -      Ss                  0 ??         0:00.01 /usr/sbin/KernelEventAgent
    0    49     1     4004   0  63  0  2470296   2380 -      Ss                  0 ??         3:36.13 /usr/libexec/hidd
    0    50     1  1004004   0  50  0  2494856   5364 -      Ss                  0 ??         0:20.20 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/Support/fseventsd
    0    52     1     4004   0  63  0  2432796     20 -      Ss                  0 ??         0:00.20 /sbin/dynamic_pager -F /private/var/vm/swapfile
    0    56     1     4004   0  33  0  2468816   1256 -      Ss                  0 ??         0:01.55 /usr/libexec/diskarbitrationd
    0    57     1     4004   0   4  0  2503732   3476 -      Ss                  0 ??         0:06.14 /System/Library/CoreServices/launchservicesd
   55    58     1     4004   0   4  0  2492284   1020 -      Ss                  0 ??         0:00.30 /System/Library/CoreServices/appleeventsd --server
    0    60     1     400c   0  33  0  2471532   3524 -      Ss                  0 ??         0:23.80 /usr/libexec/configd
    0    64     1     4004   0  33  0  2469340    476 -      Ss                  0 ??         0:00.12 autofsd
    0    65     1     4004   0  63  0  2494348   4096 -      Ss                  0 ??         0:01.68 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0    66     1     4004   0   4  0  2495504   2048 -      Ss                  0 ??         0:00.68 /usr/libexec/aosnotifyd
    0    67     1     4004   0   4  0  2494900   3956 -      Ss                  0 ??         0:09.10 /usr/libexec/airportd
    0    68     1     4004   0  31  0  2444632      8 -      Ss                  0 ??         0:00.06 /bin/sh /Library/Parallels/Parallels Service.app/Contents/Resources/ParallelsDispatcherService start
    0    69     1     4004   0  33  0  2480056    996 -      Ss                  0 ??         0:07.48 /usr/sbin/notifyd
    0    71     1     4004   0  33  0  2539980  24788 -      Ss                  0 ??         0:38.46 /System/Library/CoreServices/coreservicesd
    0    72     1     4004   0  33  0  2493304   2604 -      Ss                  0 ??         0:34.47 /usr/sbin/distnoted daemon
    0    73     1     4004   0   4  0  2469992   1072 -      Ss                  0 ??         0:00.10 /usr/libexec/xpcd
    0    76     1     4004   0   4  0  2494016   2732 -      Ss                  0 ??         0:01.71 com.apple.authd
    0    77     1     4004   0   4  0  2469468   1776 -      Ss                  0 ??         0:06.42 /usr/sbin/cfprefsd daemon
    0    86     1     4004   0  33  0  2469660    860 -      Ss                  0 ??         0:00.21 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  202   146     1     4004   0  63  0  2476452   3236 -      Ss                  0 ??         9:24.74 /usr/sbin/coreaudiod
    0   148     1  1004004   0  33  0  3691632 239052 -      Ss                  0 ??        18:24.58 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
   88   163     1     410c   0  79  0  3301736  55632 -      Ss                  0 ??        40:48.55 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
   24   166     1     4004   0  33  0  2469320   1624 -      Ss                  0 ??         0:03.02 /usr/libexec/networkd
    0   169     1     4004   0  33  0  2469232    416 -      Ss                  0 ??         0:00.14 /usr/libexec/networkd_privileged
  202   172     1     4104   0   4  0  2469992     12 -      Ss                  0 ??         0:00.03 /usr/libexec/xpcd
  202   173     1     4004   0   4  0  2492472    428 -      Ss                  0 ??         0:00.06 com.apple.audio.DriverHelper
    0   186     1     4004   0  33  0  2491728    888 -      Ss                  0 ??         0:01.84 /usr/libexec/usbd
    0   187     1     4004   0  33  0  2468724    272 -      Ss                  0 ??         0:00.10 /sbin/SystemStarter
    0   188     1     4004   0  33  0  2469756    400 -      Ss                  0 ??         0:03.15 /usr/libexec/pacemaker -b -e 0.0001 -a 10
    0   189     1     4004   0  33  0  2509100   2176 -      Ss                  0 ??         0:00.62 /usr/libexec/sandboxd -n PluginProcess -n 
    0   190     1     4004   0   4  0  2470300    632 -      Ss                  0 ??         0:00.38 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
    0   191     1     4004   0   4  0  2469284   1428 -      Ss                  0 ??         0:01.10 sysmond
    0   214     1     4004   0  33  0  2518608    648 -      Ss                  0 ??         0:00.35 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
    0   224     1     4004   0   4  0  2469416    856 -      Ss                  0 ??         0:00.29 com.apple.CodeSigningHelper
    0   260     1     4104   0  31  0  2452432     12 -      S                   0 ??         0:00.01 sudo /Library/StartupItems/HWNetMgr/HWNetCfg
    0   261     1     4000   0  33  0   629672    280 -      S                   0 ??         0:00.19 /Library/StartupItems/HWPortDetect/HWPortCfg
    0   263   260     4000   0  33  0   629724    284 -      S                   0 ??         0:00.16 /Library/StartupItems/HWNetMgr/HWNetCfg
  501   283     1 80004004   0  31  0  2471568    936 -      Ss                  0 ??         0:03.31 /sbin/launchd
    0   285     1     4004   0  33  0  2492488    480 -      Ss                  0 ??         0:00.15 /usr/libexec/securityd_service
  501   290   283 40004004   0  33  0  2507688   6672 -      S                   0 ??         0:05.79 /usr/libexec/UserEventAgent (Aqua)
  501   291   283     4004   0  33  0  2494876   5064 -      S                   0 ??         1:07.09 /usr/sbin/distnoted agent
  501   294   283     4004   0   4  0  2470440   1596 -      S                   0 ??         0:04.55 /usr/sbin/cfprefsd agent
  501   295     1     4104   0   4  0  2494820   2188 -      Ss                  0 ??         0:01.25 /usr/libexec/xpcd
  501   299   283     4004   0  33  0  2492192   2336 -      S                   0 ??         0:00.57 /usr/sbin/usernoted
  501   301   283     4004   0   4  0  2472424   2308 -      S                   0 ??         0:00.54 /System/Library/CoreServices/pbs
  501   302   283     4004   0   4  0  2494920   2004 -      S                   0 ??         0:00.24 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  501   304   283     4084   0   4  0  4015280  81392 -      S                   0 ??         5:46.86 /Applications/Safari.app/Contents/MacOS/Safari -psn_0_20485
  501   306   283     4004   0   4  0  2497924   3956 -      S                   0 ??         0:01.47 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  501   307   283     4084   0  49  0  2604736  24084 -      S                   0 ??         1:17.72 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal -psn_0_24582
  501   309   283     4084   0   4  0  3695240 640676 -      S                   0 ??        44:53.78 /Applications/Firefox.app/Contents/MacOS/firefox -psn_0_28679
